gene_symbol,ncbi_gene,ensembl_gene,db_gene_symbol,db_ncbi_gene,db_ensembl_gene,source_gene,gs_id,gs_name,gs_collection,gs_subcollection,gs_collection_name,gs_description,gs_source_species,gs_pmid,gs_geoid,gs_exact_source,gs_url,db_version,db_target_species,ortholog_taxon_id,ortholog_sources,num_ortholog_sources
Pcolce2,76477,ENSMUSG00000015354,PCOLCE2,26577,ENSG00000163710,PCOLCE2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Pdgfrb,18596,ENSMUSG00000024620,PDGFRB,5159,ENSG00000113721,PDGFRB,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Pdlim4,30794,ENSMUSG00000020388,PDLIM4,8572,ENSG00000131435,PDLIM4,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Pfn2,18645,ENSMUSG00000027805,PFN2,5217,ENSG00000070087,PFN2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Plaur,18793,ENSMUSG00000046223,PLAUR,5329,ENSG00000011422,PLAUR,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Plod1,18822,ENSMUSG00000019055,PLOD1,5351,ENSG00000083444,PLOD1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Plod2,26432,ENSMUSG00000032374,PLOD2,5352,ENSG00000152952,PLOD2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Plod3,26433,ENSMUSG00000004846,PLOD3,8985,ENSG00000106397,PLOD3,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Pmepa1,65112,ENSMUSG00000038400,PMEPA1,56937,ENSG00000124225,PMEPA1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Pmp22,18858,ENSMUSG00000018217,PMP22,5376,ENSG00000109099,PMP22,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam,11
Postn,50706,ENSMUSG00000027750,POSTN,10631,ENSG00000133110,POSTN,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Ppib,19035,ENSMUSG00000032383,PPIB,5479,ENSG00000166794,PPIB,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Prrx1,18933,ENSMUSG00000026586,PRRX1,5396,ENSG00000116132,PRRX1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Gm10334,100040233,ENSMUSG00000071517,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|OMA|OrthoDB|Panther,4
Gm5771,436523,ENSMUSG00000058119,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|OMA|OrthoDB|Panther,4
Prss1,114228,ENSMUSG00000062751,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|OMA|OrthoDB|Panther,4
Prss2,22072,ENSMUSG00000057163,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HomoloGene|OrthoDB|Panther,4
Prss3,22073,ENSMUSG00000071519,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|OMA|OrthoDB|Panther,4
Try10,436522,ENSMUSG00000071521,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|OMA|OrthoDB|Panther,4
Try4,22074,ENSMUSG00000054106,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|OMA|OrthoDB|Panther,4
Try5,103964,ENSMUSG00000036938,PRSS2,5645,ENSG00000275896,PRSS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|OMA|OrthoDB|Panther,4
Pthlh,19227,ENSMUSG00000048776,PTHLH,5744,ENSG00000087494,PTHLH,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Ptx3,19288,ENSMUSG00000027832,PTX3,5806,ENSG00000163661,PTX3,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Pvr,52118,ENSMUSG00000040511,PVR,5817,ENSG00000073008,PVR,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|OMA|OrthoDB|Panther|Treefam,6
Qsox1,104009,ENSMUSG00000033684,QSOX1,5768,ENSG00000116260,QSOX1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Rgs4,19736,ENSMUSG00000038530,RGS4,5999,ENSG00000117152,RGS4,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
Rhob,11852,ENSMUSG00000054364,RHOB,388,ENSG00000143878,RHOB,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Sat1,20229,ENSMUSG00000025283,SAT1,6303,ENSG00000130066,SAT1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
Scg2,20254,ENSMUSG00000050711,SCG2,7857,ENSG00000171951,SCG2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Sdc1,20969,ENSMUSG00000020592,SDC1,6382,ENSG00000115884,SDC1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Sdc4,20971,ENSMUSG00000017009,SDC4,6385,ENSG00000124145,SDC4,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Serpine1,18787,ENSMUSG00000037411,SERPINE1,5054,ENSG00000106366,SERPINE1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Serpine2,20720,ENSMUSG00000026249,SERPINE2,5270,ENSG00000135919,SERPINE2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Serpinh1,12406,ENSMUSG00000070436,SERPINH1,871,ENSG00000149257,SERPINH1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Sfrp1,20377,ENSMUSG00000031548,SFRP1,6422,ENSG00000104332,SFRP1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Sfrp4,20379,ENSMUSG00000021319,SFRP4,6424,ENSG00000106483,SFRP4,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB,11
Sgcb,24051,ENSMUSG00000029156,SGCB,6443,ENSG00000163069,SGCB,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Sgcd,24052,ENSMUSG00000020354,SGCD,6444,ENSG00000170624,SGCD,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Sgcg,24053,ENSMUSG00000035296,SGCG,6445,ENSG00000102683,SGCG,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Slc6a8,102857,ENSMUSG00000019558,SLC6A8,6535,ENSG00000130821,SLC6A8,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
Slit2,20563,ENSMUSG00000031558,SLIT2,9353,ENSG00000145147,SLIT2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Slit3,20564,ENSMUSG00000056427,SLIT3,6586,ENSG00000184347,SLIT3,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Snai2,20583,ENSMUSG00000022676,SNAI2,6591,ENSG00000019549,SNAI2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Sntb1,20649,ENSMUSG00000060429,SNTB1,6641,ENSG00000172164,SNTB1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Sparc,20692,ENSMUSG00000018593,SPARC,6678,ENSG00000113140,SPARC,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Spock1,20745,ENSMUSG00000056222,SPOCK1,6695,ENSG00000152377,SPOCK1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Spp1,20750,ENSMUSG00000029304,SPP1,6696,ENSG00000118785,SPP1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Tagln,21345,ENSMUSG00000032085,TAGLN,6876,ENSG00000149591,TAGLN,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
Tfpi2,21789,ENSMUSG00000029664,TFPI2,7980,ENSG00000105825,TFPI2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,11
Tgfb1,21803,ENSMUSG00000002603,TGFB1,7040,ENSG00000105329,TGFB1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Tgfbi,21810,ENSMUSG00000035493,TGFBI,7045,ENSG00000120708,TGFBI,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Tgfbr3,21814,ENSMUSG00000029287,TGFBR3,7049,ENSG00000069702,TGFBR3,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Tgm2,21817,ENSMUSG00000037820,TGM2,7052,ENSG00000198959,TGM2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Thbs1,21825,ENSMUSG00000040152,THBS1,7057,ENSG00000137801,THBS1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Thbs2,21826,ENSMUSG00000023885,THBS2,7058,ENSG00000186340,THBS2,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Thy1,21838,ENSMUSG00000032011,THY1,7070,ENSG00000154096,THY1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Timp1,21857,ENSMUSG00000001131,TIMP1,7076,ENSG00000102265,TIMP1,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
Timp3,21859,ENSMUSG00000020044,TIMP3,7078,ENSG00000100234,TIMP3,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoMCL|Panther|PhylomeDB|Treefam,11
Tnc,21923,ENSMUSG00000028364,TNC,3371,ENSG00000041982,TNC,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Tnfaip3,21929,ENSMUSG00000019850,TNFAIP3,7128,ENSG00000118503,TNFAIP3,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam,11
Tnfrsf11b,18383,ENSMUSG00000063727,TNFRSF11B,4982,ENSG00000164761,TNFRSF11B,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam,12
Tnfrsf12a,27279,ENSMUSG00000023905,TNFRSF12A,51330,ENSG00000006327,TNFRSF12A,M5930,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,H,"",Hallmark,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",HS,26771021,"","","",2025.1.Hs,HS,10090,EggNOG|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB|Treefam,10
